tag,tagcount,votescount,tagweight,price,userscore,owners,playtime
Lovecraftian,52,2782,54,4.99,0.84,1730000,2.32
Episodic,51,8712,171,1.99,0.93,2590000,0.07
Design & Illustration,51,1697,33,0,0.8,430000,0.00
Cult Classic,51,3831,75,3.49,0.9,3240000,3.55
Mechs,51,2604,51,4.99,0.82,3030000,2.28
CRPG,50,2331,47,9.24,0.86,1730000,5.52
Touch-Friendly,49,1187,24,3.74,0.89,3460000,4.09
Experimental,49,1186,24,2.24,0.76,1730000,0.59
Blood,48,3915,82,3.36,0.83,6480000,3.48
Voxel,47,3388,72,8.24,0.8,2160000,3.35
Real Time Tactics,46,2672,58,3.99,0.87,2590000,4.11
Tactical RPG,46,1461,32,6.79,0.83,1300000,5.28
Pirates,46,4083,89,4.24,0.82,2590000,4.17
MOBA,45,14234,316,0,0.71,4970000,0.46
Interactive Fiction,44,1562,36,2.49,0.82,1080000,3.37
Psychological,44,3138,71,2.49,0.86,4320000,3.39
Clicker,44,1554,35,0.49,0.75,860000,1.04
3D Vision,43,2013,47,3.99,0.85,9940000,4.11
Animation & Modeling,43,5419,126,0,0.8,430000,0.32
Space Sim,43,5039,117,4.99,0.75,1730000,2.53
Tanks,43,5666,132,3.19,0.76,4110000,1.36
e-sports,42,14610,348,3.34,0.85,3030000,2.21
Ninja,42,6050,144,2.99,0.9,4320000,3.00
Cartoon,42,4480,107,0.49,0.92,4320000,3.49
Naval,42,2891,69,3.39,0.72,2160000,6.12
Hex Grid,41,2549,62,7.49,0.8,2160000,4.00
1980s,41,3032,74,3.86,0.83,1730000,4.05
Split Screen,41,2027,49,5.24,0.85,4320000,3.29
Drama,40,2495,62,2.99,0.92,3460000,2.47
Noir,40,2688,67,3.49,0.8,1300000,3.40
Demons,39,2656,68,4.99,0.84,2160000,2.58
Narration,39,4439,114,3.99,0.86,3240000,2.45
Linear,39,3123,80,4.46,0.84,7350000,4.40
Wargame,39,1155,30,13.59,0.78,1730000,5.25
PvE,38,6434,169,0,0.69,10370000,3.57
Strategy RPG,37,1135,31,5.89,0.8,1730000,5.05
Rhythm,36,3086,86,4.99,0.85,2380000,3.10
Superhero,35,4916,140,4.99,0.81,2160000,9.32
Comic Book,35,3041,87,4.99,0.86,2160000,8.11
Score Attack,34,1159,34,2.49,0.89,2380000,2.20
Alternate History,34,3084,91,4.99,0.83,3030000,3.35
Dinosaurs,33,9802,297,3.94,0.77,2160000,2.13
Time Travel,33,4593,139,3.39,0.87,2590000,3.40
Western,33,2557,77,2.99,0.84,1730000,2.12
GameMaker,33,809,25,4.99,0.87,2380000,2.41
Mouse only,32,1183,37,1.26,0.83,3670000,3.30
Trading Card Game,32,1493,47,0,0.73,1730000,0.43
Dragons,32,9935,310,1.99,0.78,4760000,5.16
Assassin,32,9131,285,5.11,0.84,6920000,5.05
Political,32,2686,84,3.74,0.85,2380000,4.01
God Game,32,2157,67,4.99,0.82,1300000,2.55
Video Production,32,761,24,0,0.72,860000,0.49
Hacking,31,6393,206,2.74,0.83,2590000,3.57
Cold War,31,1705,55,3.99,0.85,1080000,2.29
Party-Based RPG,31,1472,47,9.99,0.83,1730000,6.08
Psychedelic,31,1614,52,2.99,0.85,1510000,1.57
Gothic,30,1678,56,7.49,0.81,2590000,3.43
Parody,29,1436,50,3.99,0.87,2590000,4.27
Trains,29,2343,81,12.99,0.81,1510000,2.40
Otome,29,808,28,4.99,0.87,650000,4.33
Cinematic,29,4200,145,3.99,0.86,7350000,4.58
Games Workshop,29,2249,78,3.49,0.87,7780000,3.32
Swordplay,29,3260,112,4.99,0.81,6480000,4.45
Crowdfunded,28,1260,45,7.49,0.83,3030000,4.09
Audio Production,28,772,28,9.79,0.71,430000,0.16
FMV,28,490,18,2.99,0.75,1300000,3.07
Character Action Game,28,2498,89,7.49,0.83,3890000,5.33
Politics,28,1305,47,3.99,0.77,2160000,4.32
Trading,27,9021,334,2.99,0.76,1730000,7.08
Underwater,27,4687,174,4.99,0.86,1730000,4.02
Science,27,4751,176,5.39,0.88,2160000,3.00
